ウェアハウス一橋学園店,東京都小平市学園東町一丁目4番39号平山ビル3F
GiGO新大久保,東京都新宿区百人町2丁目10−1南雲ビルB1F
namco池袋店RED,東京都豊島区東池袋1−22−10 HUMAXパビリオン1F
WORLD GAME CIRCUS,東京都立川市羽衣町2−4−13羽衣長田ビル101WGC
GiGO秋葉原3号館2,東京都千代田区外神田1−11−11外神田1丁目ビルディング
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1 ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階
東京レジャーランド池袋店,東京都豊島区東池袋1丁目1番29号 サントロペ池袋2階3階
GiGO高田馬場,東京都新宿区高田馬場4−7−5高田馬場グランド東京
タイトーFステーション吉祥寺JOY店,東京都武蔵野市吉祥寺本町1丁目8‐23 河田ビル
ゲームパニック秋葉原,東京都千代田区外神田1-13-1 Akihabara ex
東京レジャーランド吉祥寺店,東京都武蔵野市吉祥寺本町1-3-7 YSビル地下1階〜4階
GiGO池袋3号館,東京都豊島区東池袋1-1-4池袋北辰ビル
namco秋葉原,東京都千代田区外神田1丁目15番9号
GiGO総本店,東京都豊島区東池袋一丁目13番6号
ゲームW,東京都豊島区南長崎5-27-6
GiGO本厚木,神奈川県厚木市中町4−15−9
ムトス相模原店,神奈川県相模原市中央区中央2−1−5
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
GiGO相模大野,神奈川県相模原市南区相模大野3−13−2東和ビル2F・3F
アドアーズ大和店A館,神奈川県大和市大和東1−4−3大黒屋ビル1、2階
シルクハット本厚木,神奈川県厚木市中町3−4−22第二会田ビル2階
シルクハット伊勢佐木町,神奈川県横浜市中区伊勢佐木町3—96日活会館3階
ラウンドワン高津店,神奈川県川崎市高津区二子4−8−1
タイトーステーション溝の口,神奈川県川崎市高津区溝口1−11−8OKKA634ビル3階
タイトーステーション戸塚西口店,神奈川県横浜市戸塚区戸塚町4023
ゲームインファンファン藤沢店,神奈川県藤沢市鵠沼石上1−3−8
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
タイトー小田原シティーモール店,神奈川県小田原市前川120 フレスポ小田原シティーモール2F
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町2−6−40T-PLATZ内
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸2−8−16
ゲームコスモ鶴見店,神奈川県横浜市鶴見区豊岡町17−4
GiGO綱島,神奈川県横浜市港北区綱島西2−6−29
