shop,adress,map
ＧｉＧＯ大森,東京都大田区山王２−１−５大森駅ララビル２Ｆ,"35.5900117 139.7284234"
ＧｉＧＯ池上,東京都大田区池上６−２−３松山ビル２Ｆ,"35.5726635 139.7021271"
アドアーズ上野アメ横,東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１〜４階,"35.710038011614536 139.7742682282244"
アミュージアムＯＳＣ店,東京都練馬区東大泉２−３４−１オズスタジオシティ２Ｆ,"35.75304058872754 139.59483487301634"
ミラクルイン中村橋,東京都練馬区貫井１−１−２ＹＫビル２Ｆ,"35.7371368 139.638356"
ＧｉＧＯ船堀,東京都江戸川区船堀１ー６ー１１,"35.6848536 139.8638638"
ＧｉＧＯ西葛西,東京都江戸川区西葛西５−１−１４第一保志ビル,"35.66529684513976 139.85926878220903"
ドットコム葛西,東京都江戸川区中葛西３−３５−５,"35.664342788425145 139.87218898159733"
アドアーズ仙川,東京都調布市仙川町２−２１−１２　ＶＩＣビル７,"35.66249229582408 139.58409358570555"
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル,"35.7050135 139.6181738"
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル,"35.65800063081574 139.33817620982177"
ドラマ八王子高倉店,東京都八王子市高倉町55-4,"35.6650608 139.3664651"
シルクハット八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階,"35.65640208379338 139.3384065104334"
ＧｉＧＯ自由が丘,東京都目黒区自由が丘２ー１０ー９,"35.60844407439564 139.66756573988118"
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４,"35.7782507 139.7215917"
ＧｉＧＯ赤羽,東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１,"35.77896072353456 139.7222841680882"
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階,"35.7529737 139.7389579"
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１,"35.5438675 139.4469818"
アドアーズ町田,東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ,"35.5428299 139.44818168650818"
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階,"35.542713244142064 139.44848605277866"
ラウンドワン町田店,東京都町田市森野１−１３−１４,"35.54396646674992 139.44323083498762"
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１,"35.7007309 139.4813627"
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５,"35.70919237926914 139.6656938330658"
