name,address,loc_id,latitude&longitude
"PALOむつ","青森県 むつ市 中央 2-7-8　1F","PurJpYxrN9yfeLBBfPADXA","41.28688 141.18373"
"ハロータイトーむつ","青森県 むつ市 小川町 2-4-8　マエダ本店4F","nLk0daZRWahnR4npRIPJsg","41.29291 141.207841"
"モーリーファンタジーつがる柏","青森県 つがる市 柏稲盛 幾世41　イオンモールつがる柏1F","GHLC5YQFTZnXJi2l0zZ0oQ","40.803095 140.416365"
"ゲームランドつがる柏","青森県 つがる市 柏稲盛幾世 41　イオンモールつがる柏本館2F","Y5vRfIhq_cnJiO5cMj95pg","40.802632 140.416655"
"モーリーファンタジー平賀","青森県 平川市 小和森上松岡 193-1　イオンタウン平賀　マックスバリュ平賀店1F","fSRgiOpqXHHqH3Klh92R6Q","40.591256 140.566251"
"モーリーファンタジー藤崎","青森県 南津軽郡藤崎町 西豊田 1-7-1　イオン藤崎店2F","okowiSbnuKijOk6hW32V5w","40.657169 140.501486"
"モーリーファンタジー鶴田","青森県 北津軽郡鶴田町 鶴田字中泉 245-1　スーパーストア鶴田フッドリバーモール1F","9sV6nU1FZfI7yXVccQeb2Q","40.764403 140.441335"
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","40.6014566 141.4177839"
"モーリーファンタジー下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田　イオン下田店2F","PsRSzvosRWnoTNDwER3gPA","40.601962 141.419372"
"ハロータイトーイオン七戸十和田駅前","青森県 上北郡七戸町 荒熊内 67-990　イオン七戸SC　イオン七戸十和田駅前店内","z_k61NiJ2mIlZ0KUrSBigA","40.718897 141.155339"
"スイーツ・ハート野辺地","青森県 上北郡野辺地町 二本木 24-1　マックスバリュ野辺地店1F","QVmaLFi5xcy3i00zkiuaQQ","40.866134 141.111859"
"タイトーステーション盛岡マッハランド","岩手県 盛岡市 上堂 1-2-38","lK-ckkYYe3p0BG0rjoWIKw","39.723165 141.126452"
"ゲームランド盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡2F","-gFKvqzXYQxNGxrLiWqFgQ","39.711606 141.099932"
"モーリーファンタジー盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡　イオン盛岡店2F","8xGeetwBhdUCN6oLGd3-KA","39.711595 141.099954"
"ゲームシアターサンシャイン","岩手県 盛岡市 大通 2-7-21　ソレントビル1・2F","gcMGf2nzDfuCGlrf-VVH0g","39.703192 141.145434"
