name,address,loc_id,latitude&longitude,pcb_count
"GiGO 弘前","青森県 弘前市 末広 1-3-3","RsTCh9SA27jtPqZPPn9l6g","","","1"
"ゲームフィールド弘前樋の口","青森県 弘前市 樋の口 2-9-6　イオンタウン弘前樋の口1F","uDyNrqGhIHHWQiZtdxbcAQ","","","1"
"ソユーゲームフィールド八戸","青森県 八戸市 沼館 4-7-112　ピアドゥB棟2F","joVNChSPBBuG_mH5P-94qQ","","","1"
"モーリーファンタジー八戸田向","青森県 八戸市 田向字毘沙門平 27-1　イオン八戸田向SC　イオン八戸田向店1F","YxAxGe3EELbtGvI01uJj8Q","","","1"
"PALO黒石","青森県 黒石市 富士見 103-3　アクロスプラザ黒石内","FPuQpDH2tKx2miHUAffGFg","","","1"
"マックスバリュ十和田南","青森県 十和田市 相坂 小林21","lMNnjPtl8W2tGzTAFGobDw","","","1"
"モーリーファンタジー三沢","青森県 三沢市 松園町 3-10-1　ビードルプラザ三沢SC1F","eeGZhGM6ZmpHLeb_D_aT0w","","","1"
"ハロータイトーむつ","青森県 むつ市 小川町 2-4-8　マエダ本店4F","nLk0daZRWahnR4npRIPJsg","","","1"
"ゲームランドつがる柏","青森県 つがる市 柏稲盛幾世 41　イオンモールつがる柏本館2F","Y5vRfIhq_cnJiO5cMj95pg","","","1"
"モーリーファンタジー平賀","青森県 平川市 小和森上松岡 193-1　イオンタウン平賀　マックスバリュ平賀店1F","fSRgiOpqXHHqH3Klh92R6Q","","","1"
"モーリーファンタジー藤崎","青森県 南津軽郡藤崎町 西豊田 1-7-1　イオン藤崎店2F","okowiSbnuKijOk6hW32V5w","","","1"
"モーリーファンタジー鶴田","青森県 北津軽郡鶴田町 鶴田字中泉 245-1　スーパーストア鶴田フッドリバーモール1F","9sV6nU1FZfI7yXVccQeb2Q","","","1"
"ハロータイトーイオン七戸十和田駅前","青森県 上北郡七戸町 荒熊内 67-990　イオン七戸SC　イオン七戸十和田駅前店内","z_k61NiJ2mIlZ0KUrSBigA","","","1"
"ショッピングモールリーブ","青森県 上北郡六ヶ所村 大字尾駮 字野附1-68","J-kQ0UT9FszQVitRPioNxg","","","1"
"ラウンドワンスタジアム盛岡","岩手県 盛岡市 盛岡駅西通 2-10-35","lhPjYxW30376WQgOUSimRQ","","","4"
"アミューズメントゾーン北上","岩手県 北上市 本通り 2-2-1　さくら野百貨店北上店4F","-FabGdDnZd7_udefynEPjg","","","3"
"タイトーステーション盛岡マッハランド","岩手県 盛岡市 上堂 1-2-38","lK-ckkYYe3p0BG0rjoWIKw","","","2"
"ゲームランド盛岡","岩手県 盛岡市 前潟 4-7-1　イオンモール盛岡2F","-gFKvqzXYQxNGxrLiWqFgQ","","","2"
"ソユーゲームフィールド盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南2F","-F8jxSRXQL9aFB-mRSXwLA","","","2"
"モーリーファンタジーイオン盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南　イオン盛岡南店3F","keYiMZmvMVkkgXcnR3Czxg","","","2"
"モーリーファンタジーサンサ盛岡南","岩手県 盛岡市 津志田西 2-17-50　盛岡南SCサンサ内","nd41ebUMAzpaOfYNh1vfVA","","","2"
"ソユーゲームフィールド江釣子","岩手県 北上市 北鬼柳 19-74-3　江釣子SCパル　イオンシネマ館1F","SHKHicqGxCSN584mnMuMiQ","","","2"
"GiGO 一関","岩手県 一関市 山目字中野 92-1","UePFyRJCpWNBvKY75VhU7Q","","","2"
