shop,address,id,place
"GiGO 中筋","広島県 広島市安佐南区 中筋 4-11-7　フタバ図書MEGA祇園中筋店2F　レンタルコーナー奥","rjdEzvfqqnSta3fqtxhFbg","34.455338 132.478846"
"GiGO 中間","福岡県 中間市 上蓮花寺 3-1-1　プラザモールなかま1・2F","EWQe3_xDxAPHAT3LyzXQSQ","33.823074 130.721606"
"GiGO 丸亀","香川県 丸亀市 蓬莱町 56-1","jEsxWCl6WZEY8jh0njdFsA","34.294855 133.785198"
"GiGO 久居","三重県 津市 久居明神町風早 2534-1　久居インターガーデン内","potC0Rk1lFPXoC4pDCm1ww","34.684205 136.466843"
"GiGO 京都新京極","京都府 京都市中京区 新京極通六角下る桜之町 441-2","q9axw7EAV_FA2SAF85wYsA","35.01947 135.770908"
"GiGO 今福","大阪府 大阪市城東区 今福東 1-9-34","lfniabigtUGQPWjLr8EMzw","34.700927 135.557441"
"GiGO 仙台","宮城県 仙台市青葉区 中央 2-5-5","08rsOjm3vjm8e677jwwdXg","38.261621 140.876736"
"GiGO 仙台コロナワールド","宮城県 仙台市宮城野区 福室字田中前一番 53-1　仙台コロナワールド内","Hyw4UpY1oPAH4YLdaQ3oqA","38.26025526 140.9691703"
"GiGO 伊勢","三重県 伊勢市 中須町 666","A_FPPchUh5wgGZQir--j5A","34.4921874 136.6779997"
"GiGO 佐沼","宮城県 登米市 迫町佐沼 字中江2-5-8","twUak9PTUzz_lW6LqsggCQ","38.690445 141.189118"
"GiGO 倉敷","岡山県 倉敷市 西中新田 535-2","QtNwCZw3DdPOLH7JoLbExw","34.58389021 133.7698638"
"GiGO 入間","埼玉県 入間市 東藤沢 2-18","jZmeNAl7JJJ_qXpf0NWoOg","35.81920294 139.4181159"
"GiGO 八戸","青森県 八戸市 城下 4-25-14","LsjVp1XmDlMMuCVWwwiJqg","40.51990816 141.4983004"
"GiGO 八柱","千葉県 松戸市 日暮 1-1-1　八柱駅第2ビル2F","NwWn3KYY6c4T42TTco1IAg","35.79122641 139.9376088"
"GiGO 別府","大分県 別府市 餅ケ浜町 161-2","JNtZX9nFDiABU1wF49EAjw","33.29554779 131.50307"
"GiGO 勿来","福島県 いわき市 勿来町四沢 字鍵田13","F9_qUdYhDZ2Acd7ZGKEXFg","36.889072 140.784563"
"GiGO 北山形","山形県 山形市 北町 1-3-20","H-7ZqsDg_8VUVJzRvDWAbA","38.268249 140.331351"
"GiGO 北谷","沖縄県 中頭郡北谷町 美浜 9-8　シーサイドスクウェア1F","Ub5WzhBVupQ3orro090CnQ","26.316931 127.755582"
"GiGO 千葉","千葉県 千葉市中央区 富士見 2-4-1","TVjWplj3qPM7t21sQBKqjw","35.611564 140.115851"
"GiGO 南町田グランベリーパークキッズディスカバリー","東京都 町田市 鶴間 3-4-1　グランベリーパークキッズディスカバリー2F　E201","4QaAaMFPAERunpkf3wkdZA","35.509838 139.469959"
"GiGO 南町田グランベリーパークワンダーシアター","東京都 町田市 鶴間 3-4-1　グランベリーパークワンダーシアター1F　H103","PMsO4eW_3Cm-ZT39jSglOw","35.509838 139.469959"
"GiGO 南越谷ラクーン","埼玉県 越谷市 南越谷 1-15-1　南越谷ラクーン2F","NkyT8GTV3u5SbatEcuqvew","35.875021 139.793185"
"GiGO 名取","宮城県 名取市 飯野坂字土城堀 57-1","3kKfDLlZgvHCqVD5MftddQ","38.1565577 140.8883768"
"GiGO 名張","三重県 名張市 希央台3番町 15","XBBi5FBbsA9JN5wPdoJW2A","34.623507 136.103513"
"GiGO 和泉","大阪府 和泉市 肥子町 2-4-41","fzoOmvZEXl43vvxvttoacQ","34.4867013 135.4179794"
"GiGO 大宮アルシェ","埼玉県 さいたま市大宮区 桜木町 2-1-1　大宮アルシェ5F","WneWKUhkqHC0lDjim0dGPA","35.906165 139.62202"
"GiGO 大森","東京都 大田区 山王 2-1-5　大森駅ララビル2F","qjSW1JBzYceqBvnOnUsiig","35.58994359 139.7284341"
"GiGO 大阪第4ビル","大阪府 大阪市北区 梅田 1-11-4　駅前第4ビルB1F","uA83rC9I7s-hjuo3n-gGug","34.699746 135.499503"
"GiGO 太田","群馬県 太田市 西矢島町 575","oBLhWV0P3L4IltB5Id6Tbw","36.274554 139.378084"
"GiGO 姫路駅前","兵庫県 姫路市 駅前町 254　姫路OSビルB1F","SntAV8PvUXJbmAdwZE2cjg","34.828889 134.691146"
"GiGO 宇都宮","栃木県 宇都宮市 東宿郷 5-1-7","2t-StJ4o_M2WOXC6ZdHAaw","36.558171 139.908818"
"GiGO 安城","愛知県 安城市 百石町 2-35-13","sMdP3MbrPQMXa3-zM6Y5DA","34.947393 137.073159"
"GiGO 小名浜","福島県 いわき市 小名浜林城字塚前 18-1","qLjL0rLIK4XMo3RpTBoAhA","36.98586867 140.8970726"
"GiGO 小山","栃木県 小山市 東城南 1-1-18","_kXIzwJDJeKkZDTFc-qk2w","36.298977 139.810164"
"GiGO 尾西","愛知県 一宮市 篭屋 3-9-7　アソビックスびさい1F","uK9YXuilCH5wCvHvAXAEaw","35.309218 136.771521"
"GiGO 尾道","広島県 尾道市 新浜 1-2-13","pq0UJ_Tk5ypgxof5nq6DIA","34.40304 133.186313"
"GiGO 岡山藤崎","岡山県 岡山市中区 藤崎 599-12","ED-x3WSmxlp84meTmaDU8w","34.608866 133.976604"
"GiGO 岡崎","愛知県 岡崎市 上地 3-50-4","JJUKFKxqqu8AKFeYiXrzbg","34.9113546 137.169312"
"GiGO 岡谷","長野県 岡谷市 塚間町 2-1-21","Kw7mxCIFifPxu3t2DxU9Jw","36.065215 138.053027"
"GiGO 川口","埼玉県 川口市 東領家 2-2-10","-31bPvZ4m8BIzvcR3hlhig","35.794851 139.747529"
"GiGO 布施","大阪府 東大阪市 長堂 1-1-1　ロンモール布施内","ALdFrzpnQgaKh8YaRJZS-A","34.66418978 135.5636019"
"GiGO 幕張","千葉県 千葉市美浜区 ひび野 1-8　メッセ・アミューズ・モール1F","RPEBMrDKCVE0Q1yYFDizSg","35.64979024 140.042392"
"GiGO 広","広島県 呉市 広中町 1-9　フタバ図書ソフトピア広店2F","ajtA6qERC4DQAOFlBB6fVA","34.22861362 132.6293457"
"GiGO 広島本通","広島県 広島市中区 本通 9-30　ランドマークビルB1・1F","7kC2jhEhyb8dJL3ZoqZZaw","34.392427 132.460801"
"GiGO 庄内","山形県 東田川郡三川町 猪子字大堰端 326-6","VBO_20EJNJnke1Ynh6hHyw","38.819638 139.834864"
"GiGO 府中","東京都 府中市 西原町 1-6-2　府中クレッセ2F","zTsTkYbfbM6UbSyAtyEzYQ","35.682405 139.460398"
"GiGO 延岡","宮崎県 延岡市 平原町 5-1492-8","HsVIacf2P82cOg_tii2MZA","32.549826 131.677891"
"GiGO 弘前","青森県 弘前市 末広 1-3-3","RsTCh9SA27jtPqZPPn9l6g","40.6040725 140.4999194"
"GiGO 成田","千葉県 成田市 東町 157-5","5p7Nz9wXnhLOxN6JbtqLjg","35.779177 140.323222"
